employee_id,age,gender,marital_status,education,education_field,num_companies_worked,department,job_role,job_level,employment_type,years_at_company,years_in_current_role,total_working_years,monthly_income,percent_salary_hike,stock_option_level,bonus_eligible,overtime_paid_eligible,business_travel,work_life_balance,job_satisfaction,environment_satisfaction,relationship_satisfaction,overtime_hours_per_week,performance_rating,training_times_last_year,promotions_last_5years,years_since_last_promotion,skills_growth_opportunities,manager_rating,team_size,distance_from_home_km,remote_work_days_per_week,attrition
EMP_00000001,35,Male,Married,Bachelor,Business,1,IT,Junior,4,Full-time,3,3,4,9860,12,1,Yes,No,Travel_Rarely,4,4,3,3,17,3,6,3,1,Low,4,8,24,2,Yes
EMP_00000002,44,Male,Divorced,Bachelor,Arts,1,Sales,Junior,2,Full-time,3,2,6,4654,10,0,Yes,Yes,Travel_Rarely,3,3,3,2,4,5,0,0,0,Low,4,6,13,2,Yes
EMP_00000003,38,Female,Single,Bachelor,Business,3,Finance,Senior,5,Full-time,1,3,19,3272,15,1,No,Yes,Travel_Rarely,3,2,4,4,1,5,3,0,2,Medium,4,7,6,0,No
EMP_00000004,40,Male,Single,Master,Business,5,Sales,Junior,3,Full-time,0,3,4,2672,12,1,Yes,No,Travel_Rarely,3,3,2,2,10,4,6,0,5,High,4,6,3,1,No
EMP_00000005,32,Male,Single,Master,Technical,1,Sales,Junior,3,Full-time,2,3,3,6293,8,0,Yes,Yes,Travel_Rarely,3,2,1,2,1,3,3,0,5,High,3,5,11,0,No
EMP_00000006,33,Male,Married,Master,Technical,2,IT,Senior,3,Full-time,3,6,4,4039,6,0,Yes,No,Travel_Rarely,2,4,4,4,1,5,1,1,3,Low,3,6,13,0,No
EMP_00000007,22,Male,Single,High School,Other,1,R&D,Junior,3,Full-time,4,0,4,3215,10,2,No,Yes,Travel_Rarely,3,4,4,3,8,3,3,3,5,Medium,3,11,2,0,No
EMP_00000008,52,Female,Divorced,High School,Business,2,Sales,Analyst,4,Full-time,6,4,6,3665,15,3,Yes,No,Travel_Rarely,3,4,2,3,14,4,3,0,1,Low,4,7,20,0,Yes
EMP_00000009,23,Male,Married,PhD,Business,1,Operations,Junior,2,Contract,1,1,1,1868,11,0,Yes,Yes,Travel_Rarely,3,3,4,3,5,5,3,1,0,Low,4,5,26,3,Yes
EMP_00000010,38,Female,Single,Master,Arts,6,Sales,Executive,4,Full-time,1,6,3,2685,15,0,Yes,No,Travel_Frequently,3,4,2,2,3,,1,0,5,Low,4,6,31,0,No
EMP_00000011,35,Female,Married,Bachelor,Technical,5,IT,Manager,2,Contract,8,5,9,,9,0,Yes,No,Travel_Rarely,4,1,4,2,6,3,5,1,3,High,5,3,1,2,No
EMP_00000012,48,Female,Married,High School,Arts,1,Operations,Analyst,2,Full-time,5,0,7,7262,3,0,No,Yes,Travel_Rarely,4,3,4,2,1,4,1,0,1,Medium,4,14,1,4,No
EMP_00000013,28,Female,Divorced,High School,Other,2,Finance,Junior,3,Full-time,8,0,14,2169,13,0,Yes,No,Travel_Rarely,3,3,3,3,16,4,2,0,1,Medium,4,7,22,2,No
EMP_00000014,51,Other,Single,Master,Business,2,IT,Junior,1,Full-time,1,2,3,3809,11,1,Yes,No,Non-Travel,3,2,4,2,1,4,6,0,5,High,3,7,18,2,Yes
EMP_00000015,47,Male,Single,High School,Business,4,Operations,Senior,1,Full-time,3,5,6,3477,12,1,Yes,No,Travel_Frequently,4,3,3,4,6,5,5,1,5,Low,4,6,11,3,No
EMP_00000016,32,Male,Married,Bachelor,Other,1,R&D,Junior,1,Full-time,1,3,6,1034,15,0,No,Yes,Travel_Frequently,4,4,3,3,2,3,3,1,3,Low,3,5,25,3,No
EMP_00000017,44,Male,Married,Master,Arts,5,R&D,Analyst,3,Full-time,1,0,2,1304,11,2,Yes,Yes,Non-Travel,3,3,4,4,8,4,2,1,1,Medium,3,6,15,0,No
EMP_00000018,45,Female,Single,Master,Business,0,IT,Manager,3,Full-time,10,1,10,2343,9,1,No,No,Travel_Rarely,3,3,3,3,1,4,3,0,0,Medium,3,1,3,1,No
EMP_00000019,36,Female,Married,Bachelor,Technical,3,IT,Senior,5,Part-time,6,2,11,3215,9,2,Yes,Yes,Non-Travel,4,3,3,3,15,5,4,0,5,Low,3,6,8,2,No
EMP_00000020,34,Female,Married,High School,Technical,2,R&D,Analyst,1,Full-time,6,6,7,3199,6,1,Yes,No,Travel_Frequently,2,2,2,2,0,4,0,0,2,Medium,4,10,1,4,Yes
EMP_00000021,37,Male,Single,PhD,Science,6,HR,Manager,1,Full-time,1,1,3,3942,18,2,Yes,Yes,Travel_Frequently,3,2,3,3,3,3,4,0,1,High,4,7,8,1,No
EMP_00000022,32,Male,Divorced,Master,Arts,5,Finance,Executive,3,Full-time,0,4,4,3654,9,1,Yes,Yes,Travel_Frequently,4,3,3,4,6,4,6,1,1,Low,3,4,4,3,No
EMP_00000023,52,Female,Married,Master,Technical,0,R&D,Junior,3,Full-time,6,2,6,2780,18,1,No,No,Travel_Rarely,3,2,3,4,7,4,3,2,3,Low,3,2,7,2,No
EMP_00000024,22,Male,Married,Bachelor,Arts,3,IT,Analyst,1,Full-time,0,0,3,9017,12,0,Yes,Yes,Travel_Rarely,4,4,3,2,1,3,4,0,0,Medium,3,3,4,0,No
EMP_00000025,28,Female,Single,Bachelor,Business,1,Finance,Senior,3,Full-time,5,1,12,3247,13,2,Yes,No,Non-Travel,4,3,4,4,1,4,4,1,0,High,4,7,19,5,No
EMP_00000026,38,Male,Divorced,Master,Business,3,Operations,Junior,5,Full-time,0,5,2,3297,8,0,Yes,Yes,Non-Travel,2,3,4,4,8,5,2,1,3,Medium,3,7,42,1,Yes
